Team Name,Player name,Specalist,Span,Matches,Innings,Not Out,Runs,Highest Score,Average,BF,Strike Rate,Half Centuries,Centuries,0,Fours,Sixes,Wickets Taken,Catches
Afghanistan,Riaz Hassan,Bowl,2022-2023,5,4,0,120,50,30,192,62.5,0,1,0,12,2,12,4
Afghanistan,Rahmat Shah,Bat,2013-2023,106,102,4,3589,114,36.62,5046,71.12,5,26,5,311,38,13,26
Afghanistan,Najibullah Zadran,Bat,2012-2023,92,84,13,2060,104,29.01,2312,89.1,1,15,4,178,68,,40
Afghanistan,Mohammad Nabi,All,2009-2023,156,137,15,3208,116,26.29,3735,85.89,1,16,6,208,99,162,69
Afghanistan,Ikram Alikhil,Bat,2019-2023,21,16,4,327,86,27.25,496,65.92,0,3,0,26,4,,2
Afghanistan,Azmatullah Omarzai,Bat,2021-2023,22,16,5,490,97,44.54,538,91.07,0,4,0,39,17,15,9
Afghanistan,Rashid Khan,Bowl,2015-2023,103,81,14,1316,60,19.64,1250,105.28,0,5,8,112,48,183,33
Afghanistan,Mujeeb ur Rahman,All,2017-2023,75,40,14,236,64,9.07,262,90.07,0,1,12,25,9,101,11
Afghanistan,Noor Ahmad,Bowl,2022-2023,7,3,1,31,26,15.5,40,77.5,0,0,0,4,0,7,1
Afghanistan,Fazalhaq Farooqi,Bowl,2022-2023,27,14,9,16,6,3.2,51,31.37,0,0,3,2,0,38,2
Afghanistan,Abdul Rahman,Bowl,2023-2023,3,3,1,10,4,5,37,27.02,0,0,0,0,0,9,3
Afghanistan,Naveen-ul-Haq,Bowl,2016-2023,15,10,5,37,10,7.4,54,68.51,0,0,2,5,0,22,19
Netherlands,Scott Edwards (c),Bat,2018-2023,46,43,7,1454,86,40.38,1575,92.31,0,15,3,114,15,,0
Netherlands,Max O'Dowd,Bat,2019-2023,41,41,2,1266,90,32.46,1723,73.47,0,10,3,133,15,,5
Netherlands,Bas de Leede,All,2018-2023,38,37,1,892,123,24.77,1327,67.21,1,3,3,62,15,38,19
Netherlands,Vikramjit Singh,Bat,2022-2023,31,31,0,906,110,29.22,1197,75.68,1,5,1,109,13,,7
Netherlands,Teja Nidamanuru,All,2022-2023,26,26,4,611,111,27.77,655,93.28,2,2,4,45,16,,5
Netherlands,Paul van Meekeren,Bowl,2013-2023,21,18,7,94,21,8.54,135,69.62,0,0,4,6,2,36,3
Netherlands,Colin Ackermann,Bowl,2021-2023,15,14,0,392,81,28,511,76.71,0,3,1,39,2,9,8
Netherlands,Roelof van der Merwe,All,2009-2023,23,15,3,148,57,12.33,172,86.04,0,1,3,11,4,7,6
Netherlands,Logan van Beek,Bowl,2021-2023,32,31,10,461,59,21.95,581,79.34,0,1,3,29,12,46,17
Netherlands,Aryan Dutt,Bowl,2021-2023,33,26,7,165,23,8.68,247,66.8,0,0,3,8,7,30,8
Netherlands,Ryan Klein,Bowl,2022-2023,13,9,2,43,8,6.14,80,53.75,0,0,1,1,0,3,5
Netherlands,Wesley Barresi,Bat,2010-2023,48,47,5,1272,137,30.28,1627,78.18,1,8,5,131,21,,7
Netherlands,Saqib Zulfiqar,All,2019-2023,15,15,2,194,34,14.92,301,64.45,0,0,1,15,4,,4
Netherlands,Shariz Ahmad,Bowl,2022-2023,12,9,1,70,30,8.75,116,60.34,0,0,0,3,0,,4
Netherlands,Sybrand Engelbrecht,Bat,2023-2023,7,7,0,255,70,36.42,370,68.91,0,2,0,21,3,12,5
